zone,site,plot,date,genet_id,class,code,area,partial_mortality,notes
Juanillo,S1P1,Plot 1,2024-10-01,0,Siderastrea siderea,SSID,8.59,,
Juanillo,S1P1,Plot 1,2024-10-01,1,Porites astreoides,PAST,32.37,,
Juanillo,S1P1,Plot 1,2024-10-01,2,Porites astreoides,PAST,37.2,,
Juanillo,S1P1,Plot 1,2024-10-01,3,Porites porites,PPOR,4.28,,
Juanillo,S1P1,Plot 1,2024-10-01,4,Porites porites,PPOR,2.53,,
Juanillo,S1P1,Plot 1,2024-10-01,4,Porites porites,PPOR,3.22,,
Juanillo,S1P1,Plot 1,2024-10-01,5,Porites astreoides,PAST,46.24,,
Juanillo,S1P1,Plot 1,2024-10-01,6,Pseudodiploria strigosa,PSTR,3.83,,
Juanillo,S1P1,Plot 1,2024-10-01,7,Porites astreoides,PAST,28.33,,
Juanillo,S1P1,Plot 1,2024-10-01,7,Porites astreoides,PAST,21.95,,
Juanillo,S1P1,Plot 1,2024-10-01,7,Porites astreoides,PAST,100.64,,
Juanillo,S1P1,Plot 1,2024-10-01,8,Porites astreoides,PAST,14.57,,
Juanillo,S1P1,Plot 1,2024-10-01,9,Porites astreoides,PAST,68.36,,
Juanillo,S1P1,Plot 1,2024-10-01,10,Pseudodiploria strigosa,PSTR,7.63,,
Juanillo,S1P1,Plot 1,2024-10-01,11,Porites porites,PPOR,11.08,,
Juanillo,S1P1,Plot 1,2024-10-01,12,Porites astreoides,PAST,37.72,,
Juanillo,S1P1,Plot 1,2024-10-01,13,Pseudodiploria strigosa,PSTR,17.46,,
Juanillo,S1P1,Plot 1,2024-10-01,14,Porites porites,PPOR,10.83,,
Juanillo,S1P1,Plot 1,2024-10-01,15,Porites porites,PPOR,12.35,,
Juanillo,S1P1,Plot 1,2024-10-01,16,Porites porites,PPOR,1.9,,
Juanillo,S1P1,Plot 1,2024-10-01,17,Porites astreoides,PAST,90.91,,
Juanillo,S1P1,Plot 1,2024-10-01,18,Porites astreoides,PAST,20.95,,
Juanillo,S1P1,Plot 1,2024-10-01,19,Porites astreoides,PAST,144.16,,
Juanillo,S1P1,Plot 1,2024-10-01,20,Diploria labyrinthiformis,DLAB,127.66,,
Juanillo,S1P1,Plot 1,2024-10-01,21,Porites astreoides,PAST,4.86,,
Juanillo,S1P1,Plot 1,2024-10-01,22,Porites astreoides,PAST,59.96,,
Juanillo,S1P1,Plot 1,2024-10-01,23,Porites astreoides,PAST,73.29,,
Juanillo,S1P1,Plot 1,2024-10-01,24,Porites astreoides,PAST,9.56,,
Juanillo,S1P1,Plot 1,2024-10-01,25,Porites astreoides,PAST,17.49,,
Juanillo,S1P1,Plot 1,2024-10-01,26,Porites astreoides,PAST,21.86,,
Juanillo,S1P1,Plot 1,2024-10-01,27,Porites astreoides,PAST,22.44,,
Juanillo,S1P1,Plot 1,2024-10-01,28,Porites porites,PPOR,43.48,,
Juanillo,S1P1,Plot 1,2024-10-01,29,Porites astreoides,PAST,64.15,,
Juanillo,S1P1,Plot 1,2024-10-01,30,Porites porites,PPOR,13.83,,
Juanillo,S1P1,Plot 1,2024-10-01,31,Porites porites,PPOR,33.38,,
Juanillo,S1P1,Plot 1,2024-10-01,32,Porites astreoides,PAST,82.85,,
Juanillo,S1P1,Plot 1,2024-10-01,33,Porites astreoides,PAST,31.59,,
Juanillo,S1P1,Plot 1,2024-10-01,34,Pseudodiploria strigosa,PSTR,18.37,,
Juanillo,S1P1,Plot 1,2024-10-01,35,Porites astreoides,PAST,27.2,,
Juanillo,S1P1,Plot 1,2024-10-01,36,Porites porites,PPOR,8.15,,
Juanillo,S1P1,Plot 1,2025-12-01,2,Porites astreoides,PAST,53.06,,
Juanillo,S1P1,Plot 1,2025-12-01,1,Porites astreoides,PAST,29.87,,
Juanillo,S1P1,Plot 1,2025-12-01,35,Porites astreoides,PAST,30.32,,
Juanillo,S1P1,Plot 1,2025-12-01,33,Porites astreoides,PAST,46.94,,
Juanillo,S1P1,Plot 1,2025-12-01,32,Porites astreoides,PAST,65.31,,
Juanillo,S1P1,Plot 1,2025-12-01,31,Porites porites,PPOR,23.95,,
Juanillo,S1P1,Plot 1,2025-12-01,30,Porites porites,PPOR,20.13,,
Juanillo,S1P1,Plot 1,2025-12-01,29,Porites astreoides,PAST,58.1,,
Juanillo,S1P1,Plot 1,2025-12-01,28,Porites porites,PPOR,42.23,,
Juanillo,S1P1,Plot 1,2025-12-01,27,Porites astreoides,PAST,25.03,,
Juanillo,S1P1,Plot 1,2025-12-01,23,Unknown,UNKN,107.93,,
Juanillo,S1P1,Plot 1,2025-12-01,22,Porites astreoides,PAST,44.42,,
Juanillo,S1P1,Plot 1,2025-12-01,20,Diploria labyrinthiformis,DLAB,148.31,,
Juanillo,S1P1,Plot 1,2025-12-01,18,Porites astreoides,PAST,44.07,,
Juanillo,S1P1,Plot 1,2025-12-01,17,Porites astreoides,PAST,144.05,,
Juanillo,S1P1,Plot 1,2025-12-01,19,Porites astreoides,PAST,176.26,,
