zone;site;plot;date;genet_id;class;code;area;partial_mortality;notes
Farallon;S2P2;Plot 1;2024-12-02;0;Porites astreoides;PAST;213.23;;
Farallon;S2P2;Plot 1;2025-04-14;0;Porites astreoides;PAST;218.41;;
Farallon;S2P2;Plot 1;2025-06-23;0;Porites astreoides;PAST;261.93;;
Farallon;S2P2;Plot 1;2025-10-18;0;Porites astreoides;PAST;232.39;;
Farallon;S2P2;Plot 1;2025-12-01;0;Porites astreoides;PAST;212.97;;
Farallon;S2P2;Plot 1;2026-05-08;0;Porites astreoides;PAST;246.1;;
Farallon;S2P2;Plot 2;2024-12-02;0;Porites astreoides;PAST;157.87;;
Farallon;S2P2;Plot 2;2025-04-14;0;Porites astreoides;PAST;116.9;;
Farallon;S2P2;Plot 2;2025-06-23;0;Porites astreoides;PAST;148.17;;
Farallon;S2P2;Plot 2;2026-05-08;0;Porites astreoides;PAST;150.55;;
Farallon;S2P2;Plot 3;2024-12-02;0;Porites astreoides;PAST;242.24;;
Farallon;S2P2;Plot 3;2025-04-14;0;Porites astreoides;PAST;251.88;;
Farallon;S2P2;Plot 3;2025-06-23;0;Porites astreoides;PAST;279.71;;
Farallon;S2P2;Plot 3;2025-10-18;0;Porites astreoides;PAST;313.88;;
Farallon;S2P2;Plot 3;2026-05-08;0;Porites astreoides;PAST;312.63;;
Farallon;S2P2;Plot 3;2026-05-08;0;Porites astreoides;PAST;115.54;;
Farallon;S2P2;Plot 1;2024-12-02;1;Porites astreoides;PAST;53.41;;
Farallon;S2P2;Plot 1;2025-04-14;1;Porites astreoides;PAST;52.86;;
Farallon;S2P2;Plot 1;2025-06-23;1;Porites astreoides;PAST;57.84;;
Farallon;S2P2;Plot 1;2025-10-18;1;Porites astreoides;PAST;50.53;;
Farallon;S2P2;Plot 1;2025-12-01;1;Porites astreoides;PAST;53.24;;
Farallon;S2P2;Plot 1;2026-05-08;1;Porites astreoides;PAST;57.2;;
Farallon;S2P2;Plot 2;2024-12-02;1;Porites astreoides;PAST;220.41;;
Farallon;S2P2;Plot 2;2025-04-14;1;Porites astreoides;PAST;179.21;;
Farallon;S2P2;Plot 2;2025-06-23;1;Porites astreoides;PAST;235.86;;
Farallon;S2P2;Plot 2;2026-05-08;1;Porites astreoides;PAST;186.65;;
Farallon;S2P2;Plot 3;2024-12-02;1;Porites astreoides;PAST;22.59;;
Farallon;S2P2;Plot 3;2025-04-14;1;Porites astreoides;PAST;30.36;;
Farallon;S2P2;Plot 3;2025-06-23;1;Porites astreoides;PAST;45.27;;
