Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,2,0,Porites astreoides,1560.0,6225.8,39.3,53.06,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,1,1,Porites astreoides,1676.3,6096.4,24.8,29.87,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,35,2,Porites astreoides,7757.2,7083.0,22.1,30.32,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,33,3,Porites astreoides,9712.2,5022.1,27.7,46.94,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,32,4,Porites astreoides,8582.7,14362.6,31.9,65.31,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,31,5,Porites porites,6128.0,10416.1,30.0,23.95,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,30,6,Porites porites,6479.2,7743.1,20.3,20.13,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,29,7,Porites astreoides,6876.4,6696.6,34.9,58.1,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,28,8,Porites porites,6290.6,6416.3,32.0,42.23,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,27,9,Porites astreoides,5636.5,4973.9,23.5,25.03,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,23,10,Unknown,4660.0,10352.5,40.5,107.93,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,22,11,Porites astreoides,5861.2,12399.2,28.7,44.42,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,20,12,Diploria labyrinthiformis,5983.8,13157.9,46.2,148.31,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,18,13,Porites astreoides,3015.6,14566.0,27.3,44.07,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,17,14,Porites astreoides,2435.1,14676.0,54.9,144.05,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,19,15,Porites astreoides,4980.5,14185.0,57.0,176.26,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,15,16,Porites porites,3815.2,8539.8,15.7,10.43,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,13,17,Pseudodiploria strigosa,3877.7,6311.5,22.0,28.83,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,12,18,Porites astreoides,2476.7,10832.9,60.9,105.95,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,11,19,Porites porites,2934.2,11205.2,10.7,6.3,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,10,20,Pseudodiploria strigosa,3011.5,12216.4,13.2,11.79,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,9,21,Porites astreoides,1263.4,12493.2,29.8,57.81,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,8,22,Porites astreoides,1707.0,11359.8,16.2,12.48,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,7,23,Porites astreoides,1574.4,10320.1,94.3,160.67,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,5,24,Porites astreoides,1459.4,7566.5,32.2,69.39,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,36,25,Porites porites,1018.9,7354.6,15.3,11.5,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,4,26,Porites porites,1751.0,5606.1,20.6,15.39,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,50,27,Pseudodiploria strigosa,11066.9,5140.4,19.1,22.96,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,45,28,Porites astreoides,8967.1,2382.8,64.8,218.04,0.0,
202512_S1P1_Plot 1_coreg.png,2025-12-01,Region,44,29,Porites astreoides,9451.9,1218.0,34.5,77.61,0.0,
