Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,1,0,Porites astreoides,3259.0,9676.1,30.1,52.86,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,2,1,Stephanocoenia intersepta,3265.0,9945.0,29.0,37.56,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,3,2,Porites astreoides,3490.2,9741.4,11.7,8.68,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,19,3,Porites astreoides,5424.4,9891.8,14.0,11.3,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,17,4,Porites astreoides,6358.2,9927.8,43.2,71.93,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,15,5,Orbicella faveolata,8460.8,9559.3,176.7,1315.68,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,16,6,Porites astreoides,7913.1,9342.8,27.1,39.43,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,14,7,Siderastrea siderea,9403.0,8718.3,95.8,254.55,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,11,9,Porites astreoides,10399.9,7251.6,25.6,26.94,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,55,10,Colpophyllia natans,11534.1,8198.8,17.3,17.39,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,56,11,Orbicella faveolata,13416.5,8096.0,68.3,143.58,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,58,12,Porites astreoides,13837.7,8103.2,60.3,155.08,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,57,13,Porites astreoides,13531.0,7864.1,28.1,42.12,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,59,14,Porites astreoides,13237.4,9692.4,27.5,36.98,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,60,15,Porites astreoides,14343.6,12111.9,20.3,20.22,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,47,16,Porites astreoides,15264.8,13436.2,48.3,123.53,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,41,17,Porites astreoides,15320.0,15250.9,63.9,216.72,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,43,18,Porites astreoides,17895.2,13128.4,21.7,23.52,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,42,19,Pseudodiploria strigosa,12331.5,17834.5,13.0,11.02,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,46,20,Porites astreoides,11872.1,16744.6,27.2,49.4,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,40,21,Siderastrea siderea,11181.7,15998.2,90.8,404.1,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,10,22,Porites astreoides,12393.5,15862.4,81.3,205.8,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,38,23,Pseudodiploria strigosa,10224.6,18116.7,9.6,6.31,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,39,24,Porites astreoides,9353.6,17576.0,21.5,28.42,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,37,25,Stephanocoenia intersepta,9069.2,17671.9,28.5,31.62,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,34,26,Porites astreoides,8541.7,17479.6,40.6,78.16,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,34,27,Porites astreoides,8701.0,17378.9,15.7,13.46,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,33,28,Porites astreoides,8391.4,17166.1,40.3,67.19,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,32,29,Porites astreoides,8060.1,17439.4,70.1,186.62,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,31,30,Porites astreoides,8151.6,16775.8,50.1,110.84,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,35,31,Porites astreoides,8331.1,16902.8,15.8,13.58,0.0,
20250414_S2P2_Plot 1_coreg.png,2025-04-14,Region,31,32,Porites astreoides,8427.3,16716.9,10.4,6.86,0.0,
