Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,2,0,Stephanocoenia intersepta,2871.1,9842.4,34.1,48.88,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,1,1,Porites astreoides,2853.2,9572.7,31.9,50.53,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,3,2,Porites astreoides,3102.5,9632.0,12.6,10.62,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,4,3,Porites astreoides,3532.1,9235.7,15.3,15.64,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,19,4,Porites astreoides,5147.1,9774.2,14.9,13.43,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,17,5,Porites astreoides,6135.6,9790.9,49.3,76.32,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,15,6,Orbicella faveolata,8329.3,9398.0,192.7,1462.84,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,16,7,Porites astreoides,7745.1,9173.5,30.7,46.0,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,11,8,Porites astreoides,10346.6,6937.0,31.2,30.32,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,63,9,Porites astreoides,10398.3,9102.4,71.8,272.42,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,14,10,Siderastrea siderea,9363.4,8583.0,100.5,328.47,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,55,11,Colpophyllia natans,11559.6,7945.0,18.4,22.36,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,56,12,Orbicella faveolata,13653.1,7887.6,32.8,66.64,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,58,13,Porites astreoides,14008.5,7839.5,60.7,172.44,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,57,14,Porites astreoides,13646.5,7604.7,29.8,53.04,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,59,15,Porites astreoides,13360.7,9508.8,31.9,58.07,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,9,16,Stephanocoenia intersepta,14252.7,5691.7,17.7,17.19,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,50,17,Stephanocoenia intersepta,16109.8,6087.6,34.3,38.07,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,54,18,Stephanocoenia intersepta,16335.7,5892.1,37.9,72.27,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,60,20,Porites astreoides,14533.4,12036.6,23.2,31.75,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,47,19,Porites astreoides,15511.1,13404.9,60.2,185.17,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,43,22,Porites astreoides,18241.4,13093.8,29.2,46.96,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,41,21,Porites astreoides,15560.3,15340.8,74.4,262.03,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,46,23,Porites astreoides,11962.3,16931.7,32.8,64.44,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,10,25,Porites astreoides,12606.8,16011.4,83.8,394.51,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,66,26,Pseudodiploria strigosa,12476.1,18079.9,16.1,17.14,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,44,27,Pseudodiploria strigosa,13598.9,16490.4,28.7,44.98,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,40,24,Siderastrea siderea,11242.9,16125.6,94.0,487.31,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,45,28,Porites astreoides,9792.1,16136.7,49.7,89.93,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,45,29,Porites astreoides,10004.5,16154.7,20.2,24.9,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,45,30,Porites astreoides,9877.2,16300.8,14.7,11.84,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,0,31,Porites astreoides,9733.1,15097.1,66.9,232.39,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,61,32,Porites astreoides,10007.7,13558.8,34.8,78.5,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,18,33,Porites astreoides,9767.9,13456.2,62.5,144.04,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,13,39,Porites astreoides,10327.6,12718.5,92.3,241.68,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,48,37,Porites astreoides,9672.7,12981.7,63.5,159.32,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,39,34,Porites astreoides,9372.6,17836.9,19.9,20.56,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,37,35,Stephanocoenia intersepta,9065.5,17882.8,33.7,54.51,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,34,36,Porites astreoides,8668.8,17612.1,17.7,19.77,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,34,38,Porites astreoides,8507.3,17732.2,43.8,82.25,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,33,40,Porites astreoides,8322.1,17387.7,47.0,84.37,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,35,41,Porites astreoides,8264.4,17112.0,20.2,21.1,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,31,42,Porites astreoides,8356.0,16920.3,13.5,11.85,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,31,43,Porites astreoides,8069.4,16991.8,54.6,144.87,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,36,44,Colpophyllia natans,8266.0,18052.8,19.1,22.31,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,32,45,Porites astreoides,7267.4,16603.0,40.4,55.38,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,22,46,Porites astreoides,7114.6,16464.5,31.4,38.1,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,21,47,Porites astreoides,6820.9,16314.7,22.9,29.82,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,20,48,Porites astreoides,6909.4,15953.4,58.9,163.29,0.0,
20251018_S2P2_Plot 1_coreg.png,2025-10-18,Region,30,49,Porites astreoides,7305.7,16060.3,28.2,21.96,0.0,
