Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,64,0,Siderastrea siderea,2392.9,2723.5,102.8,522.03,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,65,1,Porites astreoides,2442.3,2645.3,104.2,368.51,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,70,2,Porites astreoides,2573.3,2719.2,12.1,9.57,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,36,3,Porites astreoides,2459.2,2407.8,74.3,333.76,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,37,4,Porites astreoides,2383.8,2301.6,18.8,22.0,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,38,5,Porites astreoides,2232.3,2323.3,79.6,357.88,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,41,6,Stephanocoenia intersepta,2120.9,2291.1,78.4,159.3,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,39,8,Porites astreoides,2070.7,2175.4,34.6,82.58,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,42,9,Porites astreoides,2028.0,2076.9,21.0,32.24,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,45,10,Porites astreoides,1992.9,2230.4,12.2,9.01,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,63,11,Porites astreoides,2148.2,2718.1,98.5,374.61,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,69,12,Porites astreoides,2248.7,2922.0,17.0,18.78,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,68,13,Colpophyllia natans,2281.9,2882.0,13.6,11.93,0.0,
20250623_S2P2_Plot 3_coreg.png,2025-06-23,Region,67,14,Porites porites,2261.8,2827.4,14.2,11.73,0.0,
